,Companies,locations
237,"['CSF\n        Internship', 'Inconso', 'BIRJEVITECH SARL']","['Montpellier, Occitanie, France', 'Morocco', 'Casablanca Prefecture, Morocco', 'Morocco']"
238,[],[]
239,"['AGENCE 79\n        Internship', 'Centre Ingénierie et Santé (CIS) & CHU Saint-Etienne\n        Internship', 'Eramet\n        Internship', 'ORH Groupe\n        Internship']","['Paris, Île-de-France, France', 'Région de Saint-Étienne, France', 'Région de Saint-Étienne, France', 'Casablanca, Morocco']"
240,[],[]
241,[],[]
242,"['Poste Maroc (Barid Al-Maghrib)', 'Office National des Chemins de Fer (ONCF)']","['Préfecture de Rabat, Morocco', 'Rabat']"
243,"['Carrefour', 'PayLogic\n        Internship', 'AFD Tech\n        Internship']","['Toulouse, Occitanie, France', 'Toulouse, Occitanie, France', 'Rabat-Salé-Kénitra, Maroc']"
244,"['IRIT (Institut de Recherche en Informatique de Toulouse)\n        Internship', 'OCP SA\n        Internship']","['Toulouse, Occitanie, France', 'Jorf Lasfar, Doukhala-Abda, Morocco']"
245,[],[]
246,[],[]
247,"['Groupe crédit agricole du Maroc\n        Full-time', 'BNP Paribas\n        Full-time', 'Performics']","['Rabat, Morocco', 'BDSI- Casablanca, Morocco', 'Casablanca, Morocco']"
248,"['Societe Generale Corporate and Investment Banking - SGCIB\n        Full-time', 'Lyxor Asset Management', 'Capgemini', 'CS Communication & Systèmes']","['Paris Area, France', 'Paris Area, France', 'Région de Toulouse, France', 'Région de Toulouse, France']"
249,[],[]
250,"['Yves Rocher Maroc \n        Full-time', 'LM RABAT \n        Internship', 'INTELCIA']","['Marrakech, Morocco', 'Rabat, Rabat-Sale, Morocco', 'Rabat Prefecture, Morocco']"
251,"['FLSmidth', 'Administration des douanes et des impots indirects']","['Préfecture de Casablanca, Morocco', 'Casablanca', 'Préfecture de Casablanca, Morocco', 'Maroc', 'Préfecture de Casablanca, Morocco']"
252,['REDAL SA\n        Internship'],"['Préfecture de Rabat, Morocco']"
253,[],[]
254,['Institut Africain des Fintechs\n        Internship'],[]
255,"['ALIS\n        Full-time', 'Keenturtle', 'A+ TRAITEMENT', 'OCP SA', 'Marsa Maroc']","['Rabat, Rabat-Salé-Zemmour-Zaër, Morocco', 'Safi, Doukhala-Abda, Morocco', 'Safi, Doukhala-Abda, Morocco']"
